name,salary_from,salary_to,salary_currency,area_name,published_at
Project Manager,80000.0,180000.0,RUR,Москва,2022-12-26T18:09:05+0300
Младший специалист / аналитик (разработчик),,,,Ульяновск,2022-12-26T19:46:26+0300
Инженер технической поддержки (HelpDesk),60000.0,,RUR,Березовский (Свердловская область),2022-12-26T17:45:11+0300
Специалист-аналитик IT- проектов,,45000.0,RUR,Челябинск,2022-12-26T14:46:30+0300
Системный аналитик,,,,Москва,2022-12-26T17:08:46+0300
Frontend-разработчик,40000.0,,RUR,Омск,2022-12-26T22:48:51+0300
Системный администратор Linux / VoIP,,,,Тула,2022-12-26T16:55:26+0300
Сервисный инженер,60000.0,,RUR,Москва,2022-12-26T22:48:33+0300
Аккаунт-менеджер,,,,Москва,2022-12-26T18:29:04+0300
"Дежурный системный администратор (график 2/2, удаленная работа)",85000.0,85000.0,RUR,Москва,2022-12-26T17:42:56+0300
Специалист технической поддержки в Маркет (Грибки),,,,Москва,2022-12-26T16:31:35+0300
Эксперт сопровождения ИТ,40300.0,,RUR,Казань,2022-12-26T17:24:58+0300
Technical Specialist (remote/no experience required),400.0,800.0,USD,Алматы,2022-12-26T18:06:46+0300
Помощник системного администратора (Эникей),,,,Пермь,2022-12-26T15:21:45+0300
Дата-Инженер,,220000.0,RUR,Санкт-Петербург,2022-12-26T18:47:49+0300
Инженер технической поддержки,70000.0,,RUR,Санкт-Петербург,2022-12-26T15:33:42+0300
Специалист DevOps,,,,Москва,2022-12-26T15:55:04+0300
Стажер в департамент бизнес-аналитики,,,,Ташкент,2022-12-26T16:09:43+0300
Ведущий специалист технической поддержки,,,,Москва,2022-12-26T17:48:11+0300
"Junior+/Middle контент-менеджер (B2B, IT)",80000.0,100000.0,RUR,Москва,2022-12-26T13:51:10+0300
Менеджер проектов,60000.0,,RUR,Санкт-Петербург,2022-12-26T17:56:54+0300
Инженер технической поддержки,,,,Москва,2022-12-26T17:55:55+0300
Технический писатель,,,,Москва,2022-12-26T17:42:53+0300
Ведущий специалист технической поддержки,,,,Краснодар,2022-12-26T17:48:21+0300
